well_id,well_enc,twt,rhob,vp,vs,formation,seis_near,seis_mid,seis_far,bg_vel
well_01,0,2180.5,2.583062186,4535.708695,2274.160045,2,-6749.200078564874,-4651.793790900723,-6010.635570739997,4819.458925091933
well_01,0,2181.0,2.590538832,4677.809167,2297.976146,2,-4500.335374231633,-4519.0119197578415,-6720.6200941065845,4824.308579214983
well_01,0,2181.5,2.576753555,4603.527613,2344.096821,2,-2231.6853654400643,-4388.9211563651525,-7496.044289874952,4829.038659483099
well_01,0,2182.0,2.575341744,4599.998286,2301.914494,2,-30.77757750496223,-4282.545106453953,-8325.698096570284,4833.651970710045
well_01,0,2182.5,2.569139314,4419.725343,2204.455407,2,2014.8604642588866,-4220.90737575554,-9198.371452717767,4838.151317709598
well_01,0,2183.0,2.572092569,4481.992204,2266.4473350000003,2,3817.7012345366893,-4225.031570001212,-10102.85429684259,4842.539505295523
well_01,0,2183.5,2.585935501,4589.5740000000005,2319.8479399999997,2,5290.217208013657,-4315.941294922266,-11027.93656746994,4846.819338281588
well_01,0,2184.0,2.6069082519999998,4860.450422,2309.972496,2,6344.880859375002,-4514.66015625,-11962.408203125002,4850.993621481564
well_01,0,2184.5,2.581274366,4539.133263000001,2281.073359,2,6914.50000891979,-4836.180787065653,-12893.644830279965,4855.06515970922
well_01,0,2185.0,2.58968024,4707.29864,2297.976146,2,7013.223859402538,-5271.371929850221,-13803.364827195017,4859.036757778327
well_01,0,2185.5,2.5856794169999997,4621.353889,2333.396412,2,6675.536959191617,-5805.071354434646,-14671.872260077356,4862.911220502651
well_01,0,2186.0,2.591005129,4780.184843999999,2338.8798,2,5935.923856655397,-6422.1168306498685,-15479.471195134167,4866.691352695966
well_01,0,2186.5,2.581274366,4501.173369,2260.744284,2,4828.869100162254,-7107.346128326825,-16206.465698572647,4870.379959172035
well_01,0,2187.0,2.581274366,4565.205505,2319.702288,2,3388.857238080559,-7845.597017296455,-16833.159836599985,4873.979844744634
well_01,0,2187.5,2.583062186,4424.440767,2222.410246,2,1650.3728187786824,-8621.707267389702,-17339.857675423373,4877.493814227523
well_01,0,2188.0,2.581912186,4441.079286,2229.827331,2,-352.09960937499955,-9420.5146484375,-17706.86328125,4880.924672434481
well_01,0,2188.5,2.582202186,4445.496749,2238.260777,2,-2571.4106195746126,-10221.984092712279,-17917.437957337537,4884.275224179273
well_01,0,2189.0,2.581274366,4403.551496,2247.727709,2,-4909.751271264261,-10986.589182252406,-17966.67195514557,4887.548274275668
well_01,0,2189.5,2.5964060840000003,4635.522857,2364.919038,2,-7256.647745450545,-11669.93066153774,-17852.61276318416,4890.7466275374345
well_01,0,2190.0,2.582202186,4369.00604,2225.018723,2,-9501.626223140063,-12227.609275048138,-17573.307869963362,4893.873088778344
well_01,0,2190.5,2.581162557,4495.11938,2282.973685,2,-11534.21288533942,-12615.225767263459,-17126.804763993234,4896.92994480703
well_01,0,2191.0,2.57987552,4470.147411,2246.999348,2,-13243.93391305521,-12788.38088266355,-16511.15093378384,4899.917410411585
well_01,0,2191.5,2.580549038,4405.5564030000005,2227.225146,2,-14520.315487294036,-12702.675365728282,-15724.393867845243,4902.835182374966
well_01,0,2192.0,2.578087699,4459.486996,2252.699184,2,-15252.8837890625,-12313.709960937502,-14764.581054687502,4905.682957480132
well_01,0,2192.5,2.584639787,4624.060088,2348.719203,2,-15358.668712643434,-11591.060513517734,-13633.575136405645,4908.460432510041
well_01,0,2193.0,2.578087699,4506.4107109999995,2286.280422,2,-14864.715005424596,-10560.20327168215,-12348.499369434605,4911.167304247652
well_01,0,2193.5,2.582748835,4610.051642,2362.870515,2,-13825.57112806998,-9260.589584390591,-10930.292163794282,4913.8032694759195
well_01,0,2194.0,2.589749635,4641.120104,2289.764555,2,-12295.785541243582,-7731.670800602894,-9399.89192950458,4916.368024977804
well_01,0,2194.5,2.564511815,4432.025743,2232.651939,2,-10329.90670560939,-6012.898269278898,-7778.2370765853975,4918.861267536262
